,RA,DEC,QUICK_OBJECT_ID,MAG_AUTO_G,MAGERR_AUTO_G,MAG_AUTO_R,MAGERR_AUTO_R,MAG_AUTO_I,MAGERR_AUTO_I,MAG_AUTO_Z,MAGERR_AUTO_Z,Z,MAG_AUTO_G-MAG_AUTO_R,MAG_AUTO_G-MAG_AUTO_I,MAG_AUTO_G-MAG_AUTO_Z,MAG_AUTO_R-MAG_AUTO_I,MAG_AUTO_R-MAG_AUTO_Z,MAG_AUTO_I-MAG_AUTO_Z
79,348.8932556909513,19.751981660143827,10402800059773,22.21539,0.097391054,20.439339,0.049728908,99.0,99.0,19.464882,0.04452901,0.625003,1.7760506,-76.78461,2.7505074,-78.56066,0.9744568,79.53512
82,348.247971852698,21.042345743126845,10402800065619,22.089367,0.10982754,20.273293,0.051687777,99.0,99.0,19.6125,0.03679055,0.408326,1.8160744,-76.91063,2.4768677,-78.72671,0.6607933,79.3875
84,349.43735978075927,20.19177429034349,10402800005693,21.680456,0.07001018,20.695402,0.055057503,99.0,99.0,99.0,99.0,0.557876,0.985054,-77.31954,-77.31954,-78.304596,-78.304596,0.0
85,349.2758564593937,20.050521266014016,10402800057484,22.031284,0.07667551,20.116283,0.037941534,99.0,99.0,19.132645,0.028627833,0.500534,1.9150009,-76.96872,2.8986397,-78.88371,0.98363876,79.867355
86,349.0519398225139,19.86836653479898,10402800006354,21.45689,0.081179544,99.0,99.0,99.0,99.0,99.0,99.0,0.608303,-77.543106,-77.543106,-77.543106,0.0,0.0,0.0
88,347.7465864852553,20.407483637947067,10402800028138,22.07146,0.09646798,20.189909,0.040786065,99.0,99.0,18.928526,0.024462173,0.62533,1.8815517,-76.92854,3.1429348,-78.81009,1.261383,80.07147
89,349.1855774636923,20.356913521091712,10402800004848,22.750996,0.11247833,99.0,99.0,99.0,99.0,99.0,99.0,0.530881,-76.24901,-76.24901,-76.24901,0.0,0.0,0.0
90,348.48020291054195,19.863595646347562,10402800057927,22.411358,0.09550059,20.600695,0.047098238,99.0,99.0,19.294418,0.029755069,0.519593,1.8106632,-76.58864,3.1169395,-78.39931,1.3062763,79.70558
91,349.352419435665,20.682140067592016,10402800049550,21.554958,0.07699136,20.012426,0.041281145,99.0,99.0,19.090986,0.035832528,0.444859,1.542532,-77.44504,2.463972,-78.98757,0.9214401,79.90901
92,348.59116479688396,20.03579969820153,10402800031110,22.292294,0.06807073,20.1908,0.02448411,99.0,99.0,18.935963,0.017120546,0.517498,2.1014938,-76.7077,3.3563309,-78.809204,1.254837,80.06404
93,348.5658736766129,21.108201711893074,10402800085901,22.070307,0.108288534,20.023985,0.03538547,99.0,99.0,18.714762,0.024455424,0.527242,2.0463219,-76.929695,3.355545,-78.97601,1.3092232,80.28524
95,347.79235832635464,20.755991177159558,10402800068557,22.22244,0.101066805,20.64235,0.045771264,99.0,99.0,19.376347,0.025955085,0.534158,1.5800915,-76.77756,2.8460941,-78.35765,1.2660027,79.62366
97,349.3199962677302,20.72620507818985,10402800049501,22.015251,0.07209228,20.256742,0.03451367,99.0,99.0,19.24624,0.027081309,0.488828,1.7585087,-76.98475,2.7690105,-78.743256,1.0105019,79.75376
98,349.78755979474204,20.58791803699387,10402800052064,21.400723,0.066162884,19.663485,0.027045136,99.0,99.0,18.845703,0.020533526,0.444574,1.7372379,-77.59927,2.5550194,-79.33652,0.81778145,80.1543
99,348.8459633306689,20.108405433016543,10402800128678,20.042086,0.033081193,18.798801,0.014768649,99.0,99.0,18.141418,0.012210958,0.344743,1.2432842,-78.95792,1.9006672,-80.2012,0.65738297,80.85858
